FuelModel WS[m/s] S[deg] DFM[-] LFM[-] ROS[m/s]
6 1.25 15 0.05 0.3 0.12338571642974758
7 1.25 15 0.05 0.3 0.14925294050092996
8 1.25 15 0.05 0.3 0.007582894759627021
9 1.25 15 0.05 0.3 0.02875577386461296
10 1.25 15 0.05 0.3 0.055838306771365184
11 1.25 15 0.05 0.3 0.024951803483720843
12 1.25 15 0.05 0.3 0.05667667361815169
13 1.25 15 0.05 0.3 0.06962764527172285
1 1.25 15 0.07 0.3 0.2289373438923676
2 1.25 15 0.07 0.3 0.1227731291172203
3 1.25 15 0.07 0.3 0.3564769502784101
4 1.25 15 0.07 0.3 0.49311166028748343
5 1.25 15 0.07 0.3 0.17915280181923568
6 1.25 15 0.07 0.3 0.10449551519603709
7 1.25 15 0.07 0.3 0.13338654796970695
8 1.25 15 0.07 0.3 0.006406982535685913
9 1.25 15 0.07 0.3 0.024353300299182902
10 1.25 15 0.07 0.3 0.050796566548560344
11 1.25 15 0.07 0.3 0.022135148790685923
12 1.25 15 0.07 0.3 0.048683797209489475
13 1.25 15 0.07 0.3 0.05896773852829408
1 1.25 15 0.09 0.3 0.18098153664971067
2 1.25 15 0.09 0.3 0.11215764237424836
3 1.25 15 0.09 0.3 0.31562272765959465
4 1.25 15 0.09 0.3 0.46017859887064255
5 1.25 15 0.09 0.3 0.16771153685461107
6 1.25 15 0.09 0.3 0.09251975340512038
7 1.25 15 0.09 0.3 0.12103549223167691
8 1.25 15 0.09 0.3 0.005605119377898505
9 1.25 15 0.09 0.3 0.02156227790306828
10 1.25 15 0.09 0.3 0.047186196987218466
11 1.25 15 0.09 0.3 0.019922722331542148
12 1.25 15 0.09 0.3 0.043976382489774556
13 1.25 15 0.09 0.3 0.052209710792471276
1 2.5 0 0.03 0.3 0.8333836368992338
2 2.5 0 0.03 0.3 0.3859551045258864
3 2.5 0 0.03 0.3 1.0279799637153921
4 2.5 0 0.03 0.3 1.2031879107363164
5 2.5 0 0.03 0.3 0.43009137662495833
6 2.5 0 0.03 0.3 0.29798345717833835
7 2.5 0 0.03 0.3 0.33191542661818924
8 2.5 0 0.03 0.3 0.017678831131497336
9 2.5 0 0.03 0.3 0.07905831859430512
10 2.5 0 0.03 0.3 0.12018514952634635
11 2.5 0 0.03 0.3 0.0513308790378761
12 2.5 0 0.03 0.3 0.11496001772996675
13 2.5 0 0.03 0.3 0.13856461554614957
1 2.5 0 0.05 0.3 0.6930071944341673
2 2.5 0 0.05 0.3 0.32790558249644103
3 2.5 0 0.05 0.3 0.8289518450819611
4 2.5 0 0.05 0.3 1.0772667380482877
5 2.5 0 0.05 0.3 0.3905117346312586
6 2.5 0 0.05 0.3 0.24029061397180462
7 2.5 0 0.05 0.3 0.29214706883992597
8 2.5 0 0.05 0.3 0.014422502199933896
9 2.5 0 0.05 0.3 0.06375176694199748
10 2.5 0 0.05 0.3 0.1065032630528901
11 2.5 0 0.05 0.3 0.04149992469005699
12 2.5 0 0.05 0.3 0.09199600369331058
13 2.5 0 0.05 0.3 0.11173699660925929
1 2.5 0 0.07 0.3 0.61776738943686
2 2.5 0 0.07 0.3 0.2974807891474115
3 2.5 0 0.07 0.3 0.702040338468716
4 2.5 0 0.07 0.3 0.9911415518895889
5 2.5 0 0.07 0.3 0.36115525852864866
6 2.5 0 0.07 0.3 0.2035024168948464
7 2.5 0 0.07 0.3 0.26109025980485295
8 2.5 0 0.07 0.3 0.01218594252525446
9 2.5 0 0.07 0.3 0.05399144993460195
10 2.5 0 0.07 0.3 0.09688689364197015
11 2.5 0 0.07 0.3 0.03681525499413272
12 2.5 0 0.07 0.3 0.07902218852967742
13 2.5 0 0.07 0.3 0.09463020003446182
1 2.5 0 0.09 0.3 0.4883628399433464
2 2.5 0 0.09 0.3 0.27175933530657875
3 2.5 0 0.09 0.3 0.6215826475779328
4 2.5 0 0.09 0.3 0.9249469590013716
5 2.5 0 0.09 0.3 0.33809074061860783
6 2.5 0 0.09 0.3 0.18017991866096117
7 2.5 0 0.09 0.3 0.236914356008026
8 2.5 0 0.09 0.3 0.010660816102716101
9 2.5 0 0.09 0.3 0.04780373228997409
10 2.5 0 0.09 0.3 0.09000065082153191
11 2.5 0 0.09 0.3 0.033135539758452105
12 2.5 0 0.09 0.3 0.07138124359951939
13 2.5 0 0.09 0.3 0.08378505771698089
1 2.5 5 0.03 0.3 0.8427512481977334
2 2.5 5 0.03 0.3 0.3898103381136717
3 2.5 5 0.03 0.3 1.0372777714941732
4 2.5 5 0.03 0.3 1.2152916571186085
5 2.5 5 0.03 0.3 0.4342647478445403
6 2.5 5 0.03 0.3 0.30090126545336005
7 2.5 5 0.03 0.3 0.3350984279869403
8 2.5 5 0.03 0.3 0.017874072732257097
9 2.5 5 0.03 0.3 0.07983253970471843
10 2.5 5 0.03 0.3 0.12150279438353985
11 2.5 5 0.03 0.3 0.05191244910735035
12 2.5 5 0.03 0.3 0.11630854357553679
13 2.5 5 0.03 0.3 0.14024226898674916
1 2.5 5 0.05 0.3 0.7007969106429917
2 2.5 5 0.05 0.3 0.33118097023050286
3 2.5 5 0.05 0.3 0.8364494959949043
